number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
1245,1395.704750610052,2024-03-04 11:47:14.286979,2024-03-04 11:47:14.345972,0 days 00:00:00.058993,2.1406199429859614,33.61351010356603,0.4899852663458292,620.8841125228112,1520.8930316335927,COMPLETE
1246,2605.0074916633043,2024-03-04 11:47:14.544894,2024-03-04 11:47:14.600317,0 days 00:00:00.055423,2.18155926266668,33.11536703758461,0.5049930024308601,788.116382672939,1259.6759684636063,COMPLETE
1247,1452.726535294746,2024-03-04 11:47:14.804465,2024-03-04 11:47:14.857976,0 days 00:00:00.053511,1.9697997850105124,36.446109305677226,0.5775324058692632,616.4943014683678,1503.2799289117972,COMPLETE
1248,26.137560141231837,2024-03-04 11:47:15.053909,2024-03-04 11:47:15.103817,0 days 00:00:00.049908,1.958702479970681,33.7774721143493,0.5905857823105776,525.4508489757395,1372.4585893551293,COMPLETE
1249,2035.8754766095624,2024-03-04 11:47:15.295104,2024-03-04 11:47:15.347235,0 days 00:00:00.052131,2.1897676086504947,32.84542515452425,0.538142989219828,701.8046872043574,1357.1697305736136,COMPLETE
1250,436.34043696234414,2024-03-04 11:47:15.546873,2024-03-04 11:47:15.604670,0 days 00:00:00.057797,2.1288811374398766,32.573736768281876,0.4558177002343911,517.6217424473087,1321.6099087923421,COMPLETE
1251,76.60672865627431,2024-03-04 11:47:15.804081,2024-03-04 11:47:15.856679,0 days 00:00:00.052598,2.016359214891655,33.52356655026738,0.5728373966869688,534.5100385096772,1345.161176148304,COMPLETE
1252,770.8892042860305,2024-03-04 11:47:16.043229,2024-03-04 11:47:16.094708,0 days 00:00:00.051479,1.989072322852064,35.100079892532484,0.5598066832168717,583.2350915250388,1368.5760805790565,COMPLETE
1253,2372.145985965722,2024-03-04 11:47:16.300866,2024-03-04 11:47:16.363926,0 days 00:00:00.063060,2.0437073125404464,34.49012201923008,0.5252766196029113,708.6371416365962,1516.529644427178,COMPLETE
1254,206.32514707661878,2024-03-04 11:47:16.596418,2024-03-04 11:47:16.658442,0 days 00:00:00.062024,2.1240343987322254,33.310304399831224,0.4595414303277969,541.6564373606192,1464.1513056144574,COMPLETE
1255,440.98569139458164,2024-03-04 11:47:16.916733,2024-03-04 11:47:16.977501,0 days 00:00:00.060768,2.095118748475561,33.0351779520438,0.5936325545059532,560.6362148995163,1333.4173983156427,COMPLETE
1256,501.1870746973031,2024-03-04 11:47:17.173890,2024-03-04 11:47:17.237024,0 days 00:00:00.063134,2.0726545186784833,29.71765024205723,0.419096182754366,530.9965346780817,1313.859535018419,COMPLETE
1257,548.8149413004336,2024-03-04 11:47:17.446016,2024-03-04 11:47:17.499219,0 days 00:00:00.053203,1.9979969260880308,34.95059465030173,0.5817652228502653,505.4335896043451,1218.5981004078812,COMPLETE
1258,416.9693471586838,2024-03-04 11:47:17.713851,2024-03-04 11:47:17.775934,0 days 00:00:00.062083,1.9799368346088932,34.064485089520794,0.41290524314782695,500.8681816058147,1486.7298476394656,COMPLETE
1259,43.95383341807133,2024-03-04 11:47:17.970602,2024-03-04 11:47:18.022849,0 days 00:00:00.052247,2.0819802072727702,31.78072537480785,0.4855589982958562,523.8396265645933,1475.656905974506,COMPLETE
1260,225.2164258394205,2024-03-04 11:47:18.219344,2024-03-04 11:47:18.273837,0 days 00:00:00.054493,2.1500413006888484,29.277335173339083,0.5686750967199431,537.8139013327507,1248.714420826746,COMPLETE
1261,1852.5930864227769,2024-03-04 11:47:18.472364,2024-03-04 11:47:18.533069,0 days 00:00:00.060705,2.0531820227369337,34.82616090809517,0.5022325376637584,659.0791871323881,1539.656410072244,COMPLETE
1262,258.7336924733594,2024-03-04 11:47:18.736553,2024-03-04 11:47:18.790887,0 days 00:00:00.054334,2.0641810590086687,32.37460476955506,0.5871831111540663,546.758588747838,1350.4865810133256,COMPLETE
1263,2382.478778969936,2024-03-04 11:47:18.982640,2024-03-04 11:47:19.036845,0 days 00:00:00.054205,2.174415608062751,34.293882906146116,0.5654702115116432,733.3054891253279,1339.5022893588166,COMPLETE
1264,359.3989898440454,2024-03-04 11:47:19.233389,2024-03-04 11:47:19.291099,0 days 00:00:00.057710,1.9662488947230927,32.92367673261201,0.5999603862550054,517.410302366483,1254.4234571694087,COMPLETE
1265,241.39735065719162,2024-03-04 11:47:19.497538,2024-03-04 11:47:19.558043,0 days 00:00:00.060505,2.1036001564975524,33.76743297576596,0.46245583667359047,528.5500151480966,1328.5849618530103,COMPLETE
1266,1076.8988346029214,2024-03-04 11:47:19.760800,2024-03-04 11:47:19.812466,0 days 00:00:00.051666,2.1680181388656488,33.20859376015333,0.4716995749374298,637.1460868741683,1301.2725427211328,COMPLETE
1267,120.82882664774829,2024-03-04 11:47:20.011439,2024-03-04 11:47:20.064753,0 days 00:00:00.053314,2.0065415342305446,33.546724983929224,0.5501824650023978,534.7738155019956,1382.2324772754832,COMPLETE
1268,1077.6360912324008,2024-03-04 11:47:20.267370,2024-03-04 11:47:20.320408,0 days 00:00:00.053038,2.156932233390024,32.77593598148602,0.47985005465362807,623.9578612522992,1360.836606621153,COMPLETE
